Population Distribution,Layout,Between or Within,Condition Sample Size,Contrast Size,ART-C observed Type I error rate,T-test observed Type I error rate,Mann Whitney U test/ Wilcoxon signed-rank test observed Type I error rate,ART observed Type I error rate
Normal,2x2,Between,8,1-Factor Contrasts,0.038,0.035,0.028,0.038
Normal,2x2,Between,8,2-Factor Contrasts,0.039,0.038,0.04,0.013
Normal,2x2,Between,16,1-Factor Contrasts,0.057,0.05,0.052,0.057
Normal,2x2,Between,16,2-Factor Contrasts,0.046,0.044,0.043,0
Normal,2x2,Between,32,1-Factor Contrasts,0.038,0.033,0.041,0.038
Normal,2x2,Between,32,2-Factor Contrasts,0.04,0.035,0.041,0.007
Normal,2x2,Between,24,1-Factor Contrasts,0.02,0.031,0.02,0.02
Normal,2x2,Between,24,2-Factor Contrasts,0.046,0.038,0.041,0.004
Normal,2x2,Between,40,1-Factor Contrasts,0.055,0.052,0.047,0.055
Normal,2x2,Between,40,2-Factor Contrasts,0.047,0.05,0.046,0.004
Normal,2x2,Within,24,1-Factor Contrasts,0.048,0.048,0.055,0.048
Normal,2x2,Within,24,2-Factor Contrasts,0.046,0.044,0.047,0.008
Normal,2x2,Within,16,1-Factor Contrasts,0.03,0.028,0.033,0.03
Normal,2x2,Within,16,2-Factor Contrasts,0.043,0.04,0.033,0.002
Normal,2x2,Within,40,1-Factor Contrasts,0.047,0.04,0.032,0.047
Normal,2x2,Within,40,2-Factor Contrasts,0.032,0.032,0.035,0.003
Normal,2x2,Within,32,1-Factor Contrasts,0.052,0.054,0.057,0.052
Normal,2x2,Within,32,2-Factor Contrasts,0.054,0.049,0.047,0
Normal,2x2,Within,8,1-Factor Contrasts,0.068,0.078,0.043,0.068
Normal,2x2,Within,8,2-Factor Contrasts,0.059,0.061,0.039,0.012
Normal,2x2x2,Between,40,1-Factor Contrasts,0.041,0.044,0.039,0.041
Normal,2x2x2,Between,40,2-Factor Contrasts,0.053,0.052,0.051,0.006
Normal,2x2x2,Between,40,3-Factor Contrasts,0.051,0.045,0.05,0
Normal,2x2x2,Between,16,1-Factor Contrasts,0.064,0.056,0.061,0.064
Normal,2x2x2,Between,16,2-Factor Contrasts,0.055,0.056,0.054,0.006
Normal,2x2x2,Between,16,3-Factor Contrasts,0.052,0.051,0.048,0
Normal,2x2x2,Between,32,1-Factor Contrasts,0.044,0.049,0.044,0.044
Normal,2x2x2,Between,32,2-Factor Contrasts,0.047,0.044,0.046,0.002
Normal,2x2x2,Between,32,3-Factor Contrasts,0.042,0.043,0.042,0
Normal,2x2x2,Between,24,1-Factor Contrasts,0.053,0.053,0.056,0.053
Normal,2x2x2,Between,24,2-Factor Contrasts,0.054,0.052,0.052,0.005
Normal,2x2x2,Between,24,3-Factor Contrasts,0.056,0.056,0.056,0
Normal,2x2x2,Between,8,1-Factor Contrasts,0.043,0.04,0.043,0.043
Normal,2x2x2,Between,8,2-Factor Contrasts,0.052,0.052,0.046,0.005
Normal,2x2x2,Between,8,3-Factor Contrasts,0.054,0.052,0.051,0.001
Normal,2x2x2,Within,32,1-Factor Contrasts,0.069,0.071,0.06,0.069
Normal,2x2x2,Within,32,2-Factor Contrasts,0.05,0.056,0.051,0.003
Normal,2x2x2,Within,32,3-Factor Contrasts,0.052,0.053,0.054,0
Normal,2x2x2,Within,16,1-Factor Contrasts,0.052,0.06,0.047,0.052
Normal,2x2x2,Within,16,2-Factor Contrasts,0.054,0.052,0.049,0.008
Normal,2x2x2,Within,16,3-Factor Contrasts,0.051,0.051,0.045,0
Normal,2x2x2,Within,8,1-Factor Contrasts,0.064,0.059,0.051,0.064
Normal,2x2x2,Within,8,2-Factor Contrasts,0.053,0.051,0.042,0.004
Normal,2x2x2,Within,8,3-Factor Contrasts,0.048,0.049,0.036,0
Normal,2x2x2,Within,40,1-Factor Contrasts,0.056,0.056,0.049,0.056
Normal,2x2x2,Within,40,2-Factor Contrasts,0.045,0.044,0.043,0.005
Normal,2x2x2,Within,40,3-Factor Contrasts,0.046,0.043,0.045,0
Normal,2x2x2,Within,24,1-Factor Contrasts,0.049,0.053,0.05,0.049
Normal,2x2x2,Within,24,2-Factor Contrasts,0.049,0.05,0.046,0.008
Normal,2x2x2,Within,24,3-Factor Contrasts,0.046,0.048,0.043,0
Normal,3x3,Between,24,1-Factor Contrasts,0.049,0.051,0.04,0.049
Normal,3x3,Between,24,2-Factor Contrasts,0.048,0.046,0.048,0.01
Normal,3x3,Between,16,1-Factor Contrasts,0.048,0.048,0.046,0.048
Normal,3x3,Between,16,2-Factor Contrasts,0.045,0.045,0.041,0.008
Normal,3x3,Between,8,1-Factor Contrasts,0.045,0.046,0.042,0.045
Normal,3x3,Between,8,2-Factor Contrasts,0.057,0.057,0.056,0.013
Normal,3x3,Between,40,1-Factor Contrasts,0.058,0.058,0.055,0.058
Normal,3x3,Between,40,2-Factor Contrasts,0.056,0.057,0.057,0.011
Normal,3x3,Between,32,1-Factor Contrasts,0.041,0.043,0.041,0.041
Normal,3x3,Between,32,2-Factor Contrasts,0.048,0.047,0.048,0.011
Normal,3x3,Within,8,1-Factor Contrasts,0.038,0.046,0.039,0.038
Normal,3x3,Within,8,2-Factor Contrasts,0.048,0.049,0.033,0.01
Normal,3x3,Within,16,1-Factor Contrasts,0.059,0.06,0.049,0.059
Normal,3x3,Within,16,2-Factor Contrasts,0.051,0.052,0.047,0.011
Normal,3x3,Within,32,1-Factor Contrasts,0.04,0.046,0.035,0.04
Normal,3x3,Within,32,2-Factor Contrasts,0.046,0.047,0.048,0.011
Normal,3x3,Within,40,1-Factor Contrasts,0.054,0.05,0.044,0.054
Normal,3x3,Within,40,2-Factor Contrasts,0.046,0.048,0.046,0.007
Normal,3x3,Within,24,1-Factor Contrasts,0.048,0.05,0.046,0.048
Normal,3x3,Within,24,2-Factor Contrasts,0.046,0.044,0.042,0.007
Lognormal,2x2,Between,8,1-Factor Contrasts,0.031,0.028,0.028,0.031
Lognormal,2x2,Between,8,2-Factor Contrasts,0.039,0.039,0.04,0.069
Lognormal,2x2,Between,16,1-Factor Contrasts,0.06,0.052,0.052,0.06
Lognormal,2x2,Between,16,2-Factor Contrasts,0.046,0.054,0.043,0.132
Lognormal,2x2,Between,32,1-Factor Contrasts,0.043,0.025,0.041,0.043
Lognormal,2x2,Between,32,2-Factor Contrasts,0.04,0.037,0.041,0.152
Lognormal,2x2,Between,24,1-Factor Contrasts,0.025,0.039,0.02,0.025
Lognormal,2x2,Between,24,2-Factor Contrasts,0.046,0.036,0.041,0.155
Lognormal,2x2,Between,40,1-Factor Contrasts,0.059,0.05,0.047,0.059
Lognormal,2x2,Between,40,2-Factor Contrasts,0.047,0.059,0.046,0.172
Lognormal,2x2,Within,24,1-Factor Contrasts,0.045,0.038,0.048,0.045
Lognormal,2x2,Within,24,2-Factor Contrasts,0.046,0.042,0.043,0.308
Lognormal,2x2,Within,16,1-Factor Contrasts,0.04,0.037,0.027,0.04
Lognormal,2x2,Within,16,2-Factor Contrasts,0.043,0.038,0.039,0.206
Lognormal,2x2,Within,40,1-Factor Contrasts,0.037,0.037,0.032,0.037
Lognormal,2x2,Within,40,2-Factor Contrasts,0.032,0.041,0.041,0.368
Lognormal,2x2,Within,32,1-Factor Contrasts,0.052,0.062,0.054,0.052
Lognormal,2x2,Within,32,2-Factor Contrasts,0.054,0.05,0.044,0.313
Lognormal,2x2,Within,8,1-Factor Contrasts,0.056,0.023,0.045,0.056
Lognormal,2x2,Within,8,2-Factor Contrasts,0.059,0.049,0.04,0.159
Lognormal,2x2x2,Between,40,1-Factor Contrasts,0.039,0.054,0.039,0.039
Lognormal,2x2x2,Between,40,2-Factor Contrasts,0.052,0.053,0.051,0.198
Lognormal,2x2x2,Between,40,3-Factor Contrasts,0.051,0.051,0.05,0.205
Lognormal,2x2x2,Between,16,1-Factor Contrasts,0.066,0.035,0.061,0.066
Lognormal,2x2x2,Between,16,2-Factor Contrasts,0.05,0.043,0.054,0.105
Lognormal,2x2x2,Between,16,3-Factor Contrasts,0.052,0.054,0.048,0.124
Lognormal,2x2x2,Between,32,1-Factor Contrasts,0.058,0.034,0.044,0.058
Lognormal,2x2x2,Between,32,2-Factor Contrasts,0.046,0.037,0.046,0.129
Lognormal,2x2x2,Between,32,3-Factor Contrasts,0.042,0.05,0.042,0.164
Lognormal,2x2x2,Between,24,1-Factor Contrasts,0.069,0.065,0.056,0.069
Lognormal,2x2x2,Between,24,2-Factor Contrasts,0.053,0.053,0.052,0.145
Lognormal,2x2x2,Between,24,3-Factor Contrasts,0.056,0.053,0.056,0.163
Lognormal,2x2x2,Between,8,1-Factor Contrasts,0.099,0.04,0.043,0.099
Lognormal,2x2x2,Between,8,2-Factor Contrasts,0.046,0.041,0.046,0.069
Lognormal,2x2x2,Between,8,3-Factor Contrasts,0.054,0.056,0.051,0.076
Lognormal,2x2x2,Within,32,1-Factor Contrasts,0.082,0.043,0.041,0.082
Lognormal,2x2x2,Within,32,2-Factor Contrasts,0.047,0.042,0.047,0.307
Lognormal,2x2x2,Within,32,3-Factor Contrasts,0.053,0.049,0.05,0.343
Lognormal,2x2x2,Within,16,1-Factor Contrasts,0.094,0.035,0.055,0.094
Lognormal,2x2x2,Within,16,2-Factor Contrasts,0.06,0.043,0.047,0.226
Lognormal,2x2x2,Within,16,3-Factor Contrasts,0.051,0.056,0.045,0.254
Lognormal,2x2x2,Within,8,1-Factor Contrasts,0.116,0.047,0.057,0.116
Lognormal,2x2x2,Within,8,2-Factor Contrasts,0.056,0.047,0.045,0.131
Lognormal,2x2x2,Within,8,3-Factor Contrasts,0.048,0.058,0.036,0.137
Lognormal,2x2x2,Within,40,1-Factor Contrasts,0.082,0.055,0.046,0.082
Lognormal,2x2x2,Within,40,2-Factor Contrasts,0.045,0.051,0.046,0.324
Lognormal,2x2x2,Within,40,3-Factor Contrasts,0.046,0.058,0.046,0.367
Lognormal,2x2x2,Within,24,1-Factor Contrasts,0.079,0.044,0.053,0.079
Lognormal,2x2x2,Within,24,2-Factor Contrasts,0.048,0.042,0.04,0.271
Lognormal,2x2x2,Within,24,3-Factor Contrasts,0.046,0.048,0.044,0.314
Lognormal,3x3,Between,24,1-Factor Contrasts,0.044,0.042,0.04,0.044
Lognormal,3x3,Between,24,2-Factor Contrasts,0.048,0.049,0.048,0.139
Lognormal,3x3,Between,16,1-Factor Contrasts,0.06,0.043,0.046,0.06
Lognormal,3x3,Between,16,2-Factor Contrasts,0.045,0.052,0.041,0.113
Lognormal,3x3,Between,8,1-Factor Contrasts,0.074,0.047,0.042,0.074
Lognormal,3x3,Between,8,2-Factor Contrasts,0.057,0.06,0.056,0.101
Lognormal,3x3,Between,40,1-Factor Contrasts,0.064,0.043,0.055,0.064
Lognormal,3x3,Between,40,2-Factor Contrasts,0.056,0.053,0.057,0.168
Lognormal,3x3,Between,32,1-Factor Contrasts,0.043,0.043,0.041,0.043
Lognormal,3x3,Between,32,2-Factor Contrasts,0.048,0.053,0.048,0.159
Lognormal,3x3,Within,8,1-Factor Contrasts,0.069,0.034,0.031,0.069
Lognormal,3x3,Within,8,2-Factor Contrasts,0.048,0.053,0.033,0.164
Lognormal,3x3,Within,16,1-Factor Contrasts,0.075,0.039,0.049,0.075
Lognormal,3x3,Within,16,2-Factor Contrasts,0.051,0.061,0.045,0.236
Lognormal,3x3,Within,32,1-Factor Contrasts,0.056,0.042,0.039,0.056
Lognormal,3x3,Within,32,2-Factor Contrasts,0.046,0.048,0.044,0.291
Lognormal,3x3,Within,40,1-Factor Contrasts,0.059,0.042,0.046,0.059
Lognormal,3x3,Within,40,2-Factor Contrasts,0.047,0.047,0.043,0.299
Lognormal,3x3,Within,24,1-Factor Contrasts,0.062,0.046,0.048,0.062
Lognormal,3x3,Within,24,2-Factor Contrasts,0.046,0.057,0.046,0.262
Exponential,2x2,Between,8,1-Factor Contrasts,0.054,0.056,0.049,0.054
Exponential,2x2,Between,8,2-Factor Contrasts,0.055,0.054,0.056,0.021
Exponential,2x2,Between,24,1-Factor Contrasts,0.055,0.05,0.05,0.055
Exponential,2x2,Between,24,2-Factor Contrasts,0.041,0.038,0.043,0.019
Exponential,2x2,Between,40,1-Factor Contrasts,0.063,0.048,0.06,0.063
Exponential,2x2,Between,40,2-Factor Contrasts,0.047,0.062,0.051,0.023
Exponential,2x2,Between,32,1-Factor Contrasts,0.061,0.056,0.061,0.061
Exponential,2x2,Between,32,2-Factor Contrasts,0.056,0.056,0.051,0.018
Exponential,2x2,Between,16,1-Factor Contrasts,0.048,0.043,0.043,0.048
Exponential,2x2,Between,16,2-Factor Contrasts,0.053,0.045,0.046,0.022
Exponential,2x2,Within,40,1-Factor Contrasts,0.042,0.042,0.049,0.042
Exponential,2x2,Within,40,2-Factor Contrasts,0.045,0.052,0.049,0.191
Exponential,2x2,Within,8,1-Factor Contrasts,0.038,0.027,0.033,0.038
Exponential,2x2,Within,8,2-Factor Contrasts,0.057,0.042,0.041,0.064
Exponential,2x2,Within,32,1-Factor Contrasts,0.063,0.047,0.057,0.063
Exponential,2x2,Within,32,2-Factor Contrasts,0.05,0.044,0.043,0.157
Exponential,2x2,Within,16,1-Factor Contrasts,0.064,0.042,0.064,0.064
Exponential,2x2,Within,16,2-Factor Contrasts,0.05,0.034,0.052,0.103
Exponential,2x2,Within,24,1-Factor Contrasts,0.058,0.042,0.044,0.058
Exponential,2x2,Within,24,2-Factor Contrasts,0.052,0.049,0.052,0.159
Exponential,2x2x2,Between,32,1-Factor Contrasts,0.031,0.029,0.036,0.031
Exponential,2x2x2,Between,32,2-Factor Contrasts,0.036,0.032,0.038,0.015
Exponential,2x2x2,Between,32,3-Factor Contrasts,0.036,0.029,0.035,0.012
Exponential,2x2x2,Between,16,1-Factor Contrasts,0.054,0.046,0.054,0.054
Exponential,2x2x2,Between,16,2-Factor Contrasts,0.046,0.045,0.042,0.018
Exponential,2x2x2,Between,16,3-Factor Contrasts,0.047,0.048,0.041,0.01
Exponential,2x2x2,Between,40,1-Factor Contrasts,0.052,0.052,0.056,0.052
Exponential,2x2x2,Between,40,2-Factor Contrasts,0.055,0.051,0.055,0.023
Exponential,2x2x2,Between,40,3-Factor Contrasts,0.05,0.05,0.049,0.015
Exponential,2x2x2,Between,8,1-Factor Contrasts,0.049,0.039,0.05,0.049
Exponential,2x2x2,Between,8,2-Factor Contrasts,0.046,0.044,0.041,0.009
Exponential,2x2x2,Between,8,3-Factor Contrasts,0.049,0.047,0.048,0.006
Exponential,2x2x2,Between,24,1-Factor Contrasts,0.05,0.05,0.056,0.05
Exponential,2x2x2,Between,24,2-Factor Contrasts,0.048,0.043,0.045,0.021
Exponential,2x2x2,Between,24,3-Factor Contrasts,0.049,0.048,0.045,0.014
Exponential,2x2x2,Within,40,1-Factor Contrasts,0.052,0.047,0.057,0.052
Exponential,2x2x2,Within,40,2-Factor Contrasts,0.053,0.049,0.052,0.155
Exponential,2x2x2,Within,40,3-Factor Contrasts,0.058,0.051,0.056,0.176
Exponential,2x2x2,Within,8,1-Factor Contrasts,0.073,0.038,0.061,0.073
Exponential,2x2x2,Within,8,2-Factor Contrasts,0.05,0.047,0.044,0.063
Exponential,2x2x2,Within,8,3-Factor Contrasts,0.05,0.048,0.035,0.069
Exponential,2x2x2,Within,24,1-Factor Contrasts,0.04,0.036,0.034,0.04
Exponential,2x2x2,Within,24,2-Factor Contrasts,0.041,0.043,0.037,0.107
Exponential,2x2x2,Within,24,3-Factor Contrasts,0.041,0.046,0.041,0.14
Exponential,2x2x2,Within,32,1-Factor Contrasts,0.055,0.048,0.053,0.055
Exponential,2x2x2,Within,32,2-Factor Contrasts,0.055,0.048,0.051,0.131
Exponential,2x2x2,Within,32,3-Factor Contrasts,0.056,0.048,0.053,0.157
Exponential,2x2x2,Within,16,1-Factor Contrasts,0.052,0.05,0.064,0.052
Exponential,2x2x2,Within,16,2-Factor Contrasts,0.047,0.048,0.051,0.102
Exponential,2x2x2,Within,16,3-Factor Contrasts,0.056,0.05,0.047,0.126
Exponential,3x3,Between,16,1-Factor Contrasts,0.05,0.05,0.048,0.05
Exponential,3x3,Between,16,2-Factor Contrasts,0.048,0.05,0.045,0.03
Exponential,3x3,Between,40,1-Factor Contrasts,0.05,0.06,0.051,0.05
Exponential,3x3,Between,40,2-Factor Contrasts,0.049,0.047,0.049,0.031
Exponential,3x3,Between,8,1-Factor Contrasts,0.066,0.057,0.062,0.066
Exponential,3x3,Between,8,2-Factor Contrasts,0.054,0.052,0.048,0.022
Exponential,3x3,Between,32,1-Factor Contrasts,0.054,0.053,0.05,0.054
Exponential,3x3,Between,32,2-Factor Contrasts,0.052,0.055,0.053,0.034
Exponential,3x3,Between,24,1-Factor Contrasts,0.038,0.042,0.035,0.038
Exponential,3x3,Between,24,2-Factor Contrasts,0.044,0.048,0.043,0.025
Exponential,3x3,Within,24,1-Factor Contrasts,0.051,0.053,0.046,0.051
Exponential,3x3,Within,24,2-Factor Contrasts,0.056,0.05,0.05,0.14
Exponential,3x3,Within,16,1-Factor Contrasts,0.045,0.028,0.041,0.045
Exponential,3x3,Within,16,2-Factor Contrasts,0.044,0.039,0.04,0.107
Exponential,3x3,Within,40,1-Factor Contrasts,0.049,0.046,0.05,0.049
Exponential,3x3,Within,40,2-Factor Contrasts,0.052,0.053,0.052,0.16
Exponential,3x3,Within,32,1-Factor Contrasts,0.057,0.057,0.057,0.057
Exponential,3x3,Within,32,2-Factor Contrasts,0.048,0.051,0.051,0.182
Exponential,3x3,Within,8,1-Factor Contrasts,0.061,0.043,0.049,0.061
Exponential,3x3,Within,8,2-Factor Contrasts,0.052,0.051,0.041,0.082
Cauchy,2x2,Between,8,1-Factor Contrasts,0.035,0.019,0.038,0.035
Cauchy,2x2,Between,8,2-Factor Contrasts,0.05,0.038,0.045,0.329
Cauchy,2x2,Between,32,1-Factor Contrasts,0.034,0.013,0.036,0.034
Cauchy,2x2,Between,32,2-Factor Contrasts,0.037,0.028,0.04,0.65
