Population Distribution,Layout,Between or Within,Condition Sample Size,Contrast Size,ART observed power,ART-C observed power,T-test observed power,Mann Whitney U test/ Wilcoxon signed-rank test observed power
Cauchy,2x2,Between,16,1-Factor Contrasts,0.238,0.238,0.056,0.326
Cauchy,2x2,Between,16,2-Factor Contrasts,0.532,0.369,0.065,0.354
Cauchy,2x2,Between,40,1-Factor Contrasts,0.321,0.321,0.059,0.485
Cauchy,2x2,Between,40,2-Factor Contrasts,0.725,0.545,0.079,0.551
Cauchy,2x2,Between,24,1-Factor Contrasts,0.308,0.308,0.075,0.450
Cauchy,2x2,Between,24,2-Factor Contrasts,0.630,0.484,0.089,0.478
Cauchy,2x2,Within,40,1-Factor Contrasts,0.299,0.299,0.070,0.369
Cauchy,2x2,Within,40,2-Factor Contrasts,0.706,0.508,0.083,0.384
Cauchy,2x2,Within,16,1-Factor Contrasts,0.189,0.189,0.038,0.197
Cauchy,2x2,Within,16,2-Factor Contrasts,0.519,0.339,0.080,0.214
Cauchy,2x2,Within,8,1-Factor Contrasts,0.141,0.141,0.063,0.138
Cauchy,2x2,Within,8,2-Factor Contrasts,0.333,0.237,0.077,0.138
Cauchy,2x2,Within,24,1-Factor Contrasts,0.251,0.251,0.071,0.264
Cauchy,2x2,Within,24,2-Factor Contrasts,0.612,0.411,0.066,0.273
Cauchy,2x2,Within,32,1-Factor Contrasts,0.334,0.334,0.056,0.385
Cauchy,2x2,Within,32,2-Factor Contrasts,0.645,0.495,0.074,0.363
Cauchy,2x2x2,Between,40,1-Factor Contrasts,0.617,0.617,0.072,0.518
Cauchy,2x2x2,Between,40,2-Factor Contrasts,0.668,0.410,0.080,0.501
Cauchy,2x2x2,Between,40,3-Factor Contrasts,0.700,0.534,0.113,0.552
Cauchy,2x2x2,Between,32,1-Factor Contrasts,0.610,0.610,0.052,0.468
Cauchy,2x2x2,Between,32,2-Factor Contrasts,0.622,0.367,0.055,0.480
Cauchy,2x2x2,Between,32,3-Factor Contrasts,0.678,0.505,0.094,0.513
Cauchy,2x2x2,Between,8,1-Factor Contrasts,0.426,0.426,0.052,0.227
Cauchy,2x2x2,Between,8,2-Factor Contrasts,0.312,0.175,0.065,0.225
Cauchy,2x2x2,Between,8,3-Factor Contrasts,0.315,0.250,0.091,0.230
Cauchy,2x2x2,Between,24,1-Factor Contrasts,0.605,0.605,0.046,0.413
Cauchy,2x2x2,Between,24,2-Factor Contrasts,0.590,0.329,0.053,0.429
Cauchy,2x2x2,Between,24,3-Factor Contrasts,0.628,0.436,0.092,0.441
Cauchy,2x2x2,Between,16,1-Factor Contrasts,0.503,0.503,0.048,0.338
Cauchy,2x2x2,Between,16,2-Factor Contrasts,0.486,0.264,0.059,0.342
Cauchy,2x2x2,Between,16,3-Factor Contrasts,0.529,0.377,0.094,0.358
Cauchy,2x2x2,Within,8,1-Factor Contrasts,0.433,0.433,0.066,0.160
Cauchy,2x2x2,Within,8,2-Factor Contrasts,0.326,0.160,0.066,0.136
Cauchy,2x2x2,Within,8,3-Factor Contrasts,0.329,0.233,0.095,0.134
Cauchy,2x2x2,Within,16,1-Factor Contrasts,0.533,0.533,0.051,0.212
Cauchy,2x2x2,Within,16,2-Factor Contrasts,0.494,0.233,0.056,0.227
Cauchy,2x2x2,Within,16,3-Factor Contrasts,0.533,0.350,0.099,0.218
Cauchy,2x2x2,Within,40,1-Factor Contrasts,0.689,0.689,0.068,0.418
Cauchy,2x2x2,Within,40,2-Factor Contrasts,0.673,0.387,0.064,0.400
Cauchy,2x2x2,Within,40,3-Factor Contrasts,0.728,0.520,0.099,0.405
Cauchy,2x2x2,Within,32,1-Factor Contrasts,0.619,0.619,0.037,0.376
Cauchy,2x2x2,Within,32,2-Factor Contrasts,0.635,0.353,0.049,0.361
Cauchy,2x2x2,Within,32,3-Factor Contrasts,0.685,0.490,0.098,0.370
Cauchy,2x2x2,Within,24,1-Factor Contrasts,0.596,0.596,0.050,0.293
Cauchy,2x2x2,Within,24,2-Factor Contrasts,0.593,0.302,0.057,0.290
Cauchy,2x2x2,Within,24,3-Factor Contrasts,0.642,0.437,0.111,0.317
Cauchy,3x3,Between,16,1-Factor Contrasts,0.454,0.454,0.053,0.305
Cauchy,3x3,Between,16,2-Factor Contrasts,0.569,0.357,0.101,0.345
Cauchy,3x3,Between,32,1-Factor Contrasts,0.556,0.556,0.048,0.468
Cauchy,3x3,Between,32,2-Factor Contrasts,0.713,0.501,0.098,0.513
Cauchy,3x3,Between,24,1-Factor Contrasts,0.527,0.527,0.051,0.400
Cauchy,3x3,Between,24,2-Factor Contrasts,0.675,0.451,0.119,0.458
Cauchy,3x3,Between,8,1-Factor Contrasts,0.321,0.321,0.051,0.171
Cauchy,3x3,Between,8,2-Factor Contrasts,0.389,0.230,0.100,0.213
Cauchy,3x3,Between,40,1-Factor Contrasts,0.594,0.594,0.069,0.545
Cauchy,3x3,Between,40,2-Factor Contrasts,0.733,0.562,0.116,0.575
Cauchy,3x3,Within,24,1-Factor Contrasts,0.492,0.492,0.063,0.317
Cauchy,3x3,Within,24,2-Factor Contrasts,0.641,0.436,0.106,0.312
Cauchy,3x3,Within,32,1-Factor Contrasts,0.520,0.520,0.064,0.351
Cauchy,3x3,Within,32,2-Factor Contrasts,0.693,0.490,0.104,0.365
Cauchy,3x3,Within,16,1-Factor Contrasts,0.445,0.445,0.049,0.236
Cauchy,3x3,Within,16,2-Factor Contrasts,0.572,0.353,0.105,0.223
Cauchy,3x3,Within,40,1-Factor Contrasts,0.545,0.545,0.059,0.399
Cauchy,3x3,Within,40,2-Factor Contrasts,0.728,0.519,0.107,0.409
Cauchy,3x3,Within,8,1-Factor Contrasts,0.349,0.349,0.062,0.155
Cauchy,3x3,Within,8,2-Factor Contrasts,0.395,0.246,0.100,0.137
T with 3 D.F.,2x2,Between,8,1-Factor Contrasts,0.412,0.412,0.366,0.350
T with 3 D.F.,2x2,Between,8,2-Factor Contrasts,0.131,0.388,0.338,0.373
T with 3 D.F.,2x2,Between,32,1-Factor Contrasts,0.684,0.684,0.589,0.592
T with 3 D.F.,2x2,Between,32,2-Factor Contrasts,0.368,0.667,0.593,0.662
T with 3 D.F.,2x2,Between,16,1-Factor Contrasts,0.516,0.516,0.430,0.428
T with 3 D.F.,2x2,Between,16,2-Factor Contrasts,0.259,0.524,0.448,0.512
T with 3 D.F.,2x2,Between,40,1-Factor Contrasts,0.699,0.699,0.627,0.652
T with 3 D.F.,2x2,Between,40,2-Factor Contrasts,0.367,0.682,0.618,0.676
T with 3 D.F.,2x2,Between,24,1-Factor Contrasts,0.647,0.647,0.565,0.560
T with 3 D.F.,2x2,Between,24,2-Factor Contrasts,0.357,0.657,0.574,0.645
T with 3 D.F.,2x2,Within,40,1-Factor Contrasts,0.660,0.660,0.586,0.596
T with 3 D.F.,2x2,Within,40,2-Factor Contrasts,0.395,0.662,0.605,0.636
T with 3 D.F.,2x2,Within,16,1-Factor Contrasts,0.485,0.485,0.448,0.425
T with 3 D.F.,2x2,Within,16,2-Factor Contrasts,0.248,0.527,0.444,0.443
T with 3 D.F.,2x2,Within,8,1-Factor Contrasts,0.390,0.390,0.331,0.291
T with 3 D.F.,2x2,Within,8,2-Factor Contrasts,0.161,0.397,0.342,0.289
T with 3 D.F.,2x2,Within,24,1-Factor Contrasts,0.617,0.617,0.517,0.520
T with 3 D.F.,2x2,Within,24,2-Factor Contrasts,0.293,0.610,0.523,0.560
T with 3 D.F.,2x2,Within,32,1-Factor Contrasts,0.670,0.670,0.625,0.622
T with 3 D.F.,2x2,Within,32,2-Factor Contrasts,0.356,0.656,0.589,0.637
T with 3 D.F.,2x2x2,Between,40,1-Factor Contrasts,0.684,0.684,0.607,0.620
T with 3 D.F.,2x2x2,Between,40,2-Factor Contrasts,0.403,0.695,0.608,0.628
T with 3 D.F.,2x2x2,Between,40,3-Factor Contrasts,0.287,0.698,0.613,0.692
T with 3 D.F.,2x2x2,Between,32,1-Factor Contrasts,0.683,0.683,0.602,0.620
T with 3 D.F.,2x2x2,Between,32,2-Factor Contrasts,0.365,0.662,0.580,0.602
T with 3 D.F.,2x2x2,Between,32,3-Factor Contrasts,0.245,0.663,0.580,0.660
T with 3 D.F.,2x2x2,Between,8,1-Factor Contrasts,0.372,0.372,0.323,0.276
T with 3 D.F.,2x2x2,Between,8,2-Factor Contrasts,0.153,0.384,0.324,0.308
T with 3 D.F.,2x2x2,Between,8,3-Factor Contrasts,0.049,0.387,0.325,0.356
T with 3 D.F.,2x2x2,Between,24,1-Factor Contrasts,0.628,0.628,0.533,0.533
T with 3 D.F.,2x2x2,Between,24,2-Factor Contrasts,0.354,0.621,0.529,0.550
T with 3 D.F.,2x2x2,Between,24,3-Factor Contrasts,0.205,0.609,0.524,0.601
T with 3 D.F.,2x2x2,Between,16,1-Factor Contrasts,0.541,0.541,0.452,0.450
T with 3 D.F.,2x2x2,Between,16,2-Factor Contrasts,0.272,0.547,0.462,0.473
T with 3 D.F.,2x2x2,Between,16,3-Factor Contrasts,0.138,0.545,0.456,0.531
T with 3 D.F.,2x2x2,Within,8,1-Factor Contrasts,0.414,0.414,0.360,0.314
T with 3 D.F.,2x2x2,Within,8,2-Factor Contrasts,0.164,0.407,0.348,0.300
T with 3 D.F.,2x2x2,Within,8,3-Factor Contrasts,0.073,0.393,0.333,0.293
T with 3 D.F.,2x2x2,Within,16,1-Factor Contrasts,0.491,0.491,0.399,0.377
T with 3 D.F.,2x2x2,Within,16,2-Factor Contrasts,0.274,0.524,0.445,0.429
T with 3 D.F.,2x2x2,Within,16,3-Factor Contrasts,0.136,0.517,0.434,0.463
T with 3 D.F.,2x2x2,Within,40,1-Factor Contrasts,0.686,0.686,0.593,0.598
T with 3 D.F.,2x2x2,Within,40,2-Factor Contrasts,0.370,0.688,0.614,0.626
T with 3 D.F.,2x2x2,Within,40,3-Factor Contrasts,0.247,0.693,0.618,0.663
T with 3 D.F.,2x2x2,Within,32,1-Factor Contrasts,0.633,0.633,0.549,0.547
T with 3 D.F.,2x2x2,Within,32,2-Factor Contrasts,0.372,0.652,0.578,0.576
T with 3 D.F.,2x2x2,Within,32,3-Factor Contrasts,0.238,0.665,0.589,0.635
T with 3 D.F.,2x2x2,Within,24,1-Factor Contrasts,0.636,0.636,0.544,0.516
T with 3 D.F.,2x2x2,Within,24,2-Factor Contrasts,0.330,0.593,0.510,0.513
T with 3 D.F.,2x2x2,Within,24,3-Factor Contrasts,0.201,0.603,0.511,0.559
T with 3 D.F.,3x3,Between,16,1-Factor Contrasts,0.526,0.526,0.436,0.447
T with 3 D.F.,3x3,Between,16,2-Factor Contrasts,0.392,0.540,0.446,0.528
T with 3 D.F.,3x3,Between,32,1-Factor Contrasts,0.650,0.650,0.575,0.570
T with 3 D.F.,3x3,Between,32,2-Factor Contrasts,0.503,0.651,0.578,0.647
T with 3 D.F.,3x3,Between,24,1-Factor Contrasts,0.626,0.626,0.532,0.535
T with 3 D.F.,3x3,Between,24,2-Factor Contrasts,0.461,0.617,0.531,0.609
T with 3 D.F.,3x3,Between,8,1-Factor Contrasts,0.405,0.405,0.335,0.312
T with 3 D.F.,3x3,Between,8,2-Factor Contrasts,0.243,0.411,0.341,0.376
T with 3 D.F.,3x3,Between,40,1-Factor Contrasts,0.741,0.741,0.650,0.663
T with 3 D.F.,3x3,Between,40,2-Factor Contrasts,0.588,0.710,0.629,0.711
T with 3 D.F.,3x3,Within,24,1-Factor Contrasts,0.606,0.606,0.526,0.522
T with 3 D.F.,3x3,Within,24,2-Factor Contrasts,0.460,0.610,0.540,0.581
T with 3 D.F.,3x3,Within,32,1-Factor Contrasts,0.639,0.639,0.566,0.550
T with 3 D.F.,3x3,Within,32,2-Factor Contrasts,0.531,0.654,0.583,0.622
T with 3 D.F.,3x3,Within,16,1-Factor Contrasts,0.525,0.525,0.452,0.422
T with 3 D.F.,3x3,Within,16,2-Factor Contrasts,0.390,0.539,0.455,0.472
T with 3 D.F.,3x3,Within,40,1-Factor Contrasts,0.698,0.698,0.613,0.620
T with 3 D.F.,3x3,Within,40,2-Factor Contrasts,0.547,0.676,0.602,0.651
T with 3 D.F.,3x3,Within,8,1-Factor Contrasts,0.381,0.381,0.320,0.269
T with 3 D.F.,3x3,Within,8,2-Factor Contrasts,0.235,0.392,0.323,0.282
Double Exponential,2x2,Between,8,1-Factor Contrasts,0.388,0.388,0.340,0.310
Double Exponential,2x2,Between,8,2-Factor Contrasts,0.192,0.404,0.363,0.380
Double Exponential,2x2,Between,32,1-Factor Contrasts,0.721,0.721,0.650,0.642
Double Exponential,2x2,Between,32,2-Factor Contrasts,0.381,0.690,0.640,0.689
Double Exponential,2x2,Between,40,1-Factor Contrasts,0.738,0.738,0.685,0.677
Double Exponential,2x2,Between,40,2-Factor Contrasts,0.389,0.723,0.657,0.720
Double Exponential,2x2,Between,16,1-Factor Contrasts,0.596,0.596,0.540,0.505
Double Exponential,2x2,Between,16,2-Factor Contrasts,0.274,0.573,0.528,0.558
Double Exponential,2x2,Between,24,1-Factor Contrasts,0.631,0.631,0.569,0.564
Double Exponential,2x2,Between,24,2-Factor Contrasts,0.302,0.631,0.584,0.622
Double Exponential,2x2,Within,8,1-Factor Contrasts,0.406,0.406,0.364,0.309
Double Exponential,2x2,Within,8,2-Factor Contrasts,0.175,0.411,0.373,0.308
Double Exponential,2x2,Within,32,1-Factor Contrasts,0.674,0.674,0.632,0.606
Double Exponential,2x2,Within,32,2-Factor Contrasts,0.358,0.666,0.617,0.639
Double Exponential,2x2,Within,40,1-Factor Contrasts,0.713,0.713,0.678,0.655
Double Exponential,2x2,Within,40,2-Factor Contrasts,0.370,0.704,0.661,0.670
Double Exponential,2x2,Within,16,1-Factor Contrasts,0.566,0.566,0.547,0.469
Double Exponential,2x2,Within,16,2-Factor Contrasts,0.261,0.570,0.528,0.518
Double Exponential,2x2,Within,24,1-Factor Contrasts,0.640,0.640,0.592,0.569
Double Exponential,2x2,Within,24,2-Factor Contrasts,0.304,0.621,0.583,0.584
Double Exponential,2x2x2,Between,40,1-Factor Contrasts,0.727,0.727,0.684,0.641
Double Exponential,2x2x2,Between,40,2-Factor Contrasts,0.424,0.724,0.673,0.654
Double Exponential,2x2x2,Between,40,3-Factor Contrasts,0.257,0.713,0.672,0.715
Double Exponential,2x2x2,Between,32,1-Factor Contrasts,0.660,0.660,0.617,0.583
Double Exponential,2x2x2,Between,32,2-Factor Contrasts,0.369,0.674,0.627,0.609
Double Exponential,2x2x2,Between,32,3-Factor Contrasts,0.243,0.662,0.622,0.660
Double Exponential,2x2x2,Between,8,1-Factor Contrasts,0.416,0.416,0.384,0.325
Double Exponential,2x2x2,Between,8,2-Factor Contrasts,0.163,0.418,0.380,0.321
Double Exponential,2x2x2,Between,8,3-Factor Contrasts,0.069,0.425,0.384,0.396
Double Exponential,2x2x2,Between,24,1-Factor Contrasts,0.619,0.619,0.543,0.514
Double Exponential,2x2x2,Between,24,2-Factor Contrasts,0.335,0.631,0.580,0.550
Double Exponential,2x2x2,Between,24,3-Factor Contrasts,0.212,0.635,0.582,0.629
Double Exponential,2x2x2,Between,16,1-Factor Contrasts,0.538,0.538,0.504,0.462
Double Exponential,2x2x2,Between,16,2-Factor Contrasts,0.305,0.568,0.523,0.482
Double Exponential,2x2x2,Between,16,3-Factor Contrasts,0.152,0.572,0.526,0.556
Double Exponential,2x2x2,Within,40,1-Factor Contrasts,0.697,0.697,0.672,0.627
Double Exponential,2x2x2,Within,40,2-Factor Contrasts,0.403,0.699,0.664,0.637
Double Exponential,2x2x2,Within,40,3-Factor Contrasts,0.282,0.695,0.671,0.678
Double Exponential,2x2x2,Within,8,1-Factor Contrasts,0.460,0.460,0.419,0.356
Double Exponential,2x2x2,Within,8,2-Factor Contrasts,0.172,0.433,0.406,0.324
Double Exponential,2x2x2,Within,8,3-Factor Contrasts,0.064,0.430,0.403,0.332
Double Exponential,2x2x2,Within,24,1-Factor Contrasts,0.629,0.629,0.589,0.495
Double Exponential,2x2x2,Within,24,2-Factor Contrasts,0.369,0.623,0.582,0.544
Double Exponential,2x2x2,Within,24,3-Factor Contrasts,0.211,0.639,0.602,0.605
Double Exponential,2x2x2,Within,32,1-Factor Contrasts,0.668,0.668,0.613,0.570
Double Exponential,2x2x2,Within,32,2-Factor Contrasts,0.363,0.671,0.629,0.601
Double Exponential,2x2x2,Within,32,3-Factor Contrasts,0.229,0.664,0.628,0.642
Double Exponential,2x2x2,Within,16,1-Factor Contrasts,0.552,0.552,0.520,0.443
Double Exponential,2x2x2,Within,16,2-Factor Contrasts,0.280,0.562,0.527,0.477
Double Exponential,2x2x2,Within,16,3-Factor Contrasts,0.118,0.558,0.522,0.501
Double Exponential,3x3,Between,24,1-Factor Contrasts,0.656,0.656,0.616,0.569
Double Exponential,3x3,Between,24,2-Factor Contrasts,0.482,0.635,0.589,0.632
Double Exponential,3x3,Between,40,1-Factor Contrasts,0.694,0.694,0.652,0.623
Double Exponential,3x3,Between,40,2-Factor Contrasts,0.592,0.714,0.674,0.715
Double Exponential,3x3,Between,16,1-Factor Contrasts,0.566,0.566,0.513,0.473
Double Exponential,3x3,Between,16,2-Factor Contrasts,0.394,0.556,0.504,0.541
Double Exponential,3x3,Between,32,1-Factor Contrasts,0.695,0.695,0.643,0.615
Double Exponential,3x3,Between,32,2-Factor Contrasts,0.559,0.676,0.633,0.677
Double Exponential,3x3,Between,8,1-Factor Contrasts,0.415,0.415,0.368,0.314
Double Exponential,3x3,Between,8,2-Factor Contrasts,0.242,0.410,0.364,0.377
Double Exponential,3x3,Within,16,1-Factor Contrasts,0.573,0.573,0.528,0.463
Double Exponential,3x3,Within,16,2-Factor Contrasts,0.374,0.551,0.509,0.488
Double Exponential,3x3,Within,24,1-Factor Contrasts,0.640,0.640,0.585,0.543
Double Exponential,3x3,Within,24,2-Factor Contrasts,0.478,0.628,0.590,0.591
Double Exponential,3x3,Within,8,1-Factor Contrasts,0.448,0.448,0.419,0.330
Double Exponential,3x3,Within,8,2-Factor Contrasts,0.260,0.427,0.388,0.326
Double Exponential,3x3,Within,40,1-Factor Contrasts,0.715,0.715,0.674,0.637
Double Exponential,3x3,Within,40,2-Factor Contrasts,0.574,0.696,0.666,0.679
Double Exponential,3x3,Within,32,1-Factor Contrasts,0.659,0.659,0.610,0.570
Double Exponential,3x3,Within,32,2-Factor Contrasts,0.538,0.670,0.635,0.645